hru_nhm,majority,minority,frac_1,frac_5,frac_6,frac_8,frac_10,frac_11,frac_12,frac_14,frac_15,frac_16,frac_17,frac_18,frac_19
113721,10,18,0,0,0,0.293183773756027,0.701467156410217,0,0,0.00370319583453238,0,0,0,0.00164586480241269,0
114285,10,5,0,1.43053212013911e-05,0,0.0199179835617542,0.656252205371857,0,0,0.000687882944475859,0.295896738767624,0.00106587214395404,0.0140340998768806,0.012130843475461,0
113812,10,16,0.000235131810768507,0,0,0.157075583934784,0.652401626110077,0,0,0.0160736665129662,0.157737657427788,0.000142025921377353,0.0122950887307525,0.00403920840471983,0
113713,10,1,0.000285071262624115,0,0,0.439747273921967,0.535217940807343,0,0,0.000518643413670361,0.0233758445829153,0,0,0.000855213787872344,0
114273,10,15,0,0,0,0.0613817609846592,0.716974794864655,0,0,0,0.00316003710031509,0.175197079777718,0.0236790478229523,0.0196073055267334,0
114181,10,14,0,0,0,0.073202520608902,0.920074880123138,0,0,0.000300114043056965,0.00462175626307726,0,0,0.00180068414192647,0
113686,10,1,3.40047408826649e-05,0,0,0.367796868085861,0.381441503763199,0,0,0.00875281170010567,0.230175077915192,0.000782108982093632,0.00902498792856932,0.00199267780408263,0
113826,10,1,7.26863509044051e-05,0,0,0.19503678381443,0.680115342140198,0,0,0.020282506942749,0.101677633821964,0.000293552089715376,0.000655840383842587,0.00186561641748995,0
113685,10,1,0.000126891623949632,0,0,0.459840834140778,0.505856096744537,0,0,0.000676755327731371,0.0328226312994957,0,0,0.000676755327731371,0
114383,10,16,0.0143468547612429,0.00573124783113599,0.000755084271077067,0.297200679779053,0.331589758396149,0,0,0.0843021720647812,0.230962246656418,0.000163961143698543,0.0259978007525206,0.00895021297037601,0
113669,10,8,0,0,0,0.0943799167871475,0.905620098114014,0,0,0,0,0,0,0,0
113808,10,18,0,0,0,0.305193483829498,0.640492022037506,0,0,0.024279560893774,0.0289586391299963,0,0,0.00107630633283406,0
113690,10,16,0.000362469785613939,0,0,0.281105935573578,0.681802749633789,0,0,0.0321799553930759,0.00227212137542665,9.06174464034848e-05,0,0.00218614586628973,0
114308,15,14,0,0,0,0.0222871340811253,0.398787558078766,0,0,0.000893307034857571,0.542588412761688,0.00263198302127421,0.0198540706187487,0.0129575692117214,0
113675,8,1,8.37840634630993e-05,0,0,0.494195848703384,0.401037842035294,0,0,0.00833857618272305,0.0855997800827026,0.000111712084617466,0.00635553989559412,0.00427697692066431,0
114141,10,18,0,0,0,0.0501635037362576,0.879789769649506,0,0,0.037176351994276,0,0,0,0.0328704304993153,0
114340,15,14,0,0.00466071721166372,0,0.0381577648222446,0.421771734952927,0,0,0.000104869192000479,0.498283803462982,0.00668943952769041,0.0288346782326698,0.00149701884947717,0
114147,10,1,4.92646722705103e-05,5.12041478941683e-05,5.30542602064088e-05,0.0335847027599812,0.727790117263794,0,0,0.000677473959513009,0.194320768117905,0.00361147942021489,0.00555745791643858,0.0343044586479664,0
114435,10,17,0,0,0,0.0437030419707298,0.943037450313568,0,0,0.00152814737521112,0.00918458495289087,0,0.00093823904171586,0.00160853844136,0
